Timestamp,Condition,Avg Processing FPS,Avg End-to-End Latency (ms),Avg Pose Change (Euclidean Dist),Avg Translation Change (mm),Avg Joint Position Change (mm),Avg Shape Param Variance,Avg Detection/Tracking Rate (%)
2025-05-11 16:09:12,Optimal,30.8497,32.4830,0.17516811,53.883026,3.6428723,0.58460885,100.0000
2025-05-11 16:09:36,Fast Motion,30.5509,33.1876,1.6717123,585.1612,38.05991,0.63499475,100.0000
2025-05-11 16:11:20,Low Light,14.5088,68.9419,0.39023355,200.7227,7.45169,0.4534475,100.0000
2025-05-11 16:13:15,Partial Occlusion,30.8156,32.4693,0.19214125,86.38621,4.1692615,0.3754956,100.0000
2025-05-11 16:17:36,Static+Moving Occlusion,30.7942,32.4903,0.47254667,153.08376,9.4922695,0.6350714,100.0000
